ax,ay,az
-7,414,8
2,416,0
-5,398,-1
-5,403,-11
-4,409,-6
-1,403,-2
-5,413,-1
0,410,0
-2,418,6
-1,426,4
0,421,-1
8,417,-5
-3,416,-4
2,421,-9
7,410,-5
0,418,-4
0,414,4
-2,411,2
-4,419,-4
1,416,-5
7,418,-3
5,419,-3
6,424,-6
6,416,-1
0,431,3
2,412,7
3,414,2
-3,411,6
4,407,5
6,410,-2
-1,408,0
3,418,2
0,411,2
-2,405,-7
0,404,-2
2,413,2
-5,415,2
-1,418,0
-2,419,4
5,418,1
5,419,6
2,409,0
-3,417,3
1,404,5
2,407,4
0,414,-1
2,423,6
7,419,12
4,413,11
-8,418,8
-6,424,11
0,423,3
0,419,5
-5,413,0
0,419,-5
11,401,-8
15,429,-1
2,418,-4
-7,391,-9
0,419,1
-6,405,-3
-16,415,-10
-8,402,4
-4,406,-5
-6,415,-2
-4,410,0
-5,407,0
-4,414,-5
5,419,1
3,415,-10
-2,413,-10
0,404,0
6,410,4
0,420,-2
5,416,0
4,411,8
-1,412,9
0,419,2
7,426,4
-5,417,-6
-9,413,-4
-6,416,-3
-4,423,6
0,423,1
4,412,-8
5,416,0
-1,425,-3
0,428,7
-1,434,0
0,435,0
-7,424,-2
-4,422,-1
-1,426,-2
4,419,-10
-4,418,-1
-4,422,-2
-1,424,-6
-2,417,-3
-1,412,11
0,417,9
-4,418,2
-1,429,0
1,419,0
3,417,3
3,419,-2
48,416,43
-7,431,-2
-7,439,1
-35,415,-60
0,444,-21
17,432,4
22,450,14
20,458,-11
-10,426,-5
-20,428,14
33,477,52
-78,217,-27
32,366,17
22,478,-33
-16,394,-22
-38,387,-19
9,458,-18
4,432,-6
-18,417,-12
-1,413,11
6,408,47
36,399,87
20,469,34
-5,426,-59
43,421,-50
18,442,-18
9,623,84
24,802,217
261,884,52
72,241,77
21,109,78
67,429,127
-30,258,5
-19,339,-123
-35,568,-66
-302,762,268
-633,632,737
-246,753,1082
2778,-135,1929
2429,946,4259
1249,890,3977
739,354,2468
452,675,1428
92,1029,652
-157,1277,-280
-747,952,-1329
-1200,551,-2262
-1197,477,-2996
-914,389,-3002
-695,187,-2413
-577,466,-1717
-518,194,-1386
-570,174,-1287
-418,-542,-978
-234,-516,-952
-35,-583,-889
98,-466,-860
230,-38,-691
305,292,-413
230,493,-254
79,615,-111
62,593,18
-42,328,152
-54,440,156
-84,482,141
48,540,136
110,425,220
126,466,270
89,503,263
118,552,204
66,577,225
105,620,229
161,621,193
206,525,113
131,374,-7
33,202,-155
9,-16,-255
-56,-115,-256
-77,33,-241
-93,172,-268
-170,348,-411
-204,371,-475
-136,371,-465
-136,355,-408
-191,480,-565
-420,600,-986
-816,719,-1715
-1312,1057,-2689
-2140,1061,-3625
-3166,1290,-4549
-3354,1831,-5016
-2721,2228,-4152
-2061,1823,-2530
-1486,568,-897
-704,-566,1011
311,-963,2592
1221,-1194,3639
2183,-1165,4311
2947,-505,4498
3056,-487,4146
3006,68,3508
2767,559,2826
2407,597,2322
1921,525,1832
1299,849,1437
739,1049,1169
404,1095,931
241,1025,714
206,908,529
149,817,377
96,676,149
66,488,40
95,356,1
114,297,-60
-34,252,-210
-107,359,-331
-133,510,-257
-108,504,-206
-48,575,27
10,568,98
-76,461,90
-109,372,-15
-156,309,47
-139,271,68
-192,255,-84
-408,405,-370
-604,423,-599
-702,325,-615
-694,123,-646
-582,-47,-567
-465,-175,-502
-357,-193,-465
-287,-86,-406
-163,94,-158
-5,356,27
135,546,136
155,732,159
184,772,96
266,875,237
313,850,353
310,722,383
244,592,364
166,536,291
63,502,129
26,503,62
10,508,62
-18,427,44
-8,389,16
-9,361,-7
-73,285,-39
-127,281,-54
-101,353,-90
-71,415,-97
-36,455,-73
-23,433,-74
-4,457,-30
-25,456,16
-11,452,41
-4,447,50
28,476,-13
-21,424,-40
-36,358,-56
-31,380,-15
-34,394,-11
-26,390,1
-28,382,14
-21,387,-11
-21,365,-34
-6,387,-22
44,438,36
61,473,64
8,461,34
-21,450,8
-29,413,41
-4,433,57
28,518,62
33,522,76
45,499,76
41,594,54
-3,546,-51
-16,427,-110
-5,301,-63
18,236,-41
0,156,-40
-117,111,-88
-186,181,-124
-230,288,-127
-198,393,-97
-176,513,-116
-149,563,-130
-113,521,-85
-61,437,-37
2,427,-35
8,499,-32
26,491,-11
10,399,11
24,343,37
38,348,19
59,349,16
90,308,13
90,267,44
68,331,9
68,417,-12
47,547,82
19,576,49
26,588,16
72,587,43
84,542,75
34,451,59
-23,387,-24
-88,320,-124
-152,230,-143
-150,232,-131
-165,291,-155
-166,366,-172
-153,339,-139
-116,321,-60
-90,321,-38
-32,389,-46
8,451,-12
50,471,-1
82,491,20
111,455,40
143,447,94
136,414,125
120,374,77
102,344,42
84,345,29
68,377,-47
68,469,-45
57,506,13
98,533,123
-28,444,77
-104,460,2
-107,515,11
-52,478,28
-43,421,12
-22,432,-7
-71,428,-54
-141,418,-213
-227,451,-290
-252,474,-260
-211,453,-180
-182,387,-123
-205,365,-131
-202,380,-188
-183,414,-172
-158,408,-135
-79,410,-75
-15,377,-35
58,398,-32
166,412,-51
165,378,11
157,350,78
156,362,128
127,353,121
112,362,64
109,398,96
97,457,153
39,477,127
34,476,126
21,444,164
7,420,100
6,404,-9
16,387,-53
42,407,-14
62,389,0
9,406,-34
-57,394,-74
-89,392,-89
-22,387,-67
12,396,-31
5,383,-25
13,384,-22
-3,454,-8
-67,437,-26
-125,432,-65
-185,426,-19
-121,482,-46
320,554,227
1467,884,1273
4236,1653,4637
6765,1176,8547
7235,1102,10009
5064,948,8153
727,-1285,3351
-3562,-2016,-1860
-4479,1753,-6091
-4151,1508,-5841
-3391,2568,-5539
-3165,2321,-4865
-2651,1813,-4008
-1919,955,-2786
-1356,336,-1646
-1083,-420,-1101
-827,-870,-1255
-850,-1170,-1474
-659,-1032,-1801
-298,-459,-1417
163,238,-1081
114,443,-753
50,543,-551
59,363,-385
57,332,-201
21,348,166
-14,702,550
102,1062,354
-120,1274,154
455,1445,-202
505,850,144
516,417,520
-1266,-3021,1131
-154,-461,604
-352,-563,373
-168,58,-7
143,303,-116
92,152,136
-51,300,232
-101,343,340
27,259,373
170,75,120
196,188,-145
638,2058,-325
319,412,154
313,539,262
89,64,320
59,495,406
69,365,625
63,378,746
-101,202,666
-74,280,494
-13,411,420
77,603,330
72,472,220
-55,231,181
19,470,244
-11,465,40
-35,375,22
-1,602,99
97,658,17
44,498,64
28,452,67
84,506,18
35,433,55
19,416,61
44,481,38
35,408,48
43,401,51
35,431,58
26,436,47
29,423,40
27,430,51
33,419,40
36,419,48
36,436,47
29,427,36
33,435,44
36,433,44
34,436,45
37,433,48
29,435,44
25,447,46
33,437,37
30,435,35
29,452,36
30,451,31
22,445,38
27,441,38
20,421,38
18,437,36
26,430,33
22,418,35
25,435,34
25,433,31
26,428,26
28,424,35
